model - 1577686734,1577686739.734,0.68,0.2138,0.63,0.2287
model - 1577686734,1577686739.759,0.66,0.224,0.66,0.2139
model - 1577686734,1577686739.784,0.65,0.214,0.67,0.22
model - 1577686734,1577686739.811,0.6,0.2342,0.59,0.2348
model - 1577686734,1577686739.835,0.59,0.2307,0.69,0.2062
model - 1577686734,1577686739.86,0.65,0.2252,0.62,0.2116
model - 1577686734,1577686739.886,0.66,0.2222,0.64,0.2336
model - 1577686734,1577686739.912,0.56,0.2463,0.74,0.1978
model - 1577686734,1577686739.937,0.65,0.2248,0.67,0.2052
model - 1577686734,1577686739.962,0.68,0.2135,0.59,0.2274
model - 1577686734,1577686739.986,0.54,0.2715,0.68,0.2046
model - 1577686734,1577686740.011,0.69,0.2195,0.5,0.2672
model - 1577686734,1577686740.038,0.68,0.2239,0.54,0.257
model - 1577686734,1577686740.063,0.57,0.2305,0.65,0.2079
model - 1577686734,1577686740.088,0.69,0.2012,0.66,0.2067
model - 1577686734,1577686740.112,0.68,0.2029,0.56,0.246
model - 1577686734,1577686740.141,0.61,0.23,0.73,0.2021
model - 1577686734,1577686740.168,0.63,0.2379,0.66,0.2353
model - 1577686734,1577686740.196,0.65,0.2181,0.7,0.1883
model - 1577686734,1577686740.223,0.62,0.237,0.57,0.2496
model - 1577686734,1577686740.26,0.67,0.2306,0.67,0.2069
model - 1577686734,1577686740.289,0.67,0.2171,0.65,0.2026
model - 1577686734,1577686740.319,0.65,0.2216,0.67,0.208
model - 1577686734,1577686740.351,0.72,0.2271,0.68,0.2114
model - 1577686734,1577686740.386,0.68,0.2076,0.68,0.208
model - 1577686734,1577686740.411,0.64,0.231,0.66,0.2213
model - 1577686734,1577686740.435,0.57,0.2371,0.66,0.2035
model - 1577686734,1577686740.461,0.58,0.2468,0.74,0.2053
model - 1577686734,1577686740.489,0.54,0.2465,0.72,0.2034
model - 1577686734,1577686740.513,0.59,0.2369,0.7,0.2035
model - 1577686734,1577686740.538,0.68,0.2149,0.65,0.2304
model - 1577686734,1577686740.563,0.66,0.2127,0.57,0.2313
model - 1577686734,1577686740.589,0.67,0.22,0.66,0.2285
